20130131,20130228,20130328,20130430,20130531,20130628,20130731,20130830,20130930,20131031,20131129,20131231,20140131,20140228,20140331,20140430,20140530,20140630,20140731,20140829,20140930,20141031,20141128,20141231,20150130,20150227,20150331,20150430,20150529,20150630,20150731,20150831,20150930,20151030,20151130,20151231,20160129,20160229,20160331,20160429,20160531,20160630,20160729,20160831,20160930,20161031,20161130,20161230,20170731,20170831,20170929,20171031,20171130,20171229,20180131,20180228,20180329,20180430,20180531,20180629,20180731,20180831,20180928,20181031,20181130,20181231,20190131,20190228,20190329,20190430,20190531,20190628,20190731,20190830,20190930,20191031,20191129,20191231,20200131,20200228,20200331,20200430,20200529,20200630,20200731,20200831,20200930,20201030,20201130,20201231,20210129,20210226,20210331,20210430,20210531,20210630,20210730,20210831,20210930,20211029,20211130,20211231,20220131,20220228,20220331,20220429,20220531,20220630,20220729,20220831,20220930,20221031,20221130,20221230,20230131,20230228,20230331,20230428,20230531,20230630,20230731,20230831,20230929,20231031,20231130,20231229
RRC,BDX,INTU,GPC,ETR,ROP,LIFE,HST,FISV,WYNN,CAM,APH,APH,XLNX,ES,RF,CAH,ETR,MYL,LNC,XTSLA,SWK,HOG,DTE,GMCR,SWK,NTRS,HST,CF,USD,PFG,VIAB,AAP,SWKS,RHT,VIAB,PH,GPC,VIAB,AA,XRAY,WMB,NBL,NTRS,CTL,NBL,HES,CLX,ESS,CXO,AZO,AZO,LNC,HRS,MHK,VTR,KLAC,CBS,AZO,HES,KLAC,VRSK,SBAC,K,FLT,FITB,FCX,CTAS,HIG,MTD,CDNS,MKC,CCL,KEYS,CDNS,KEYS,CDW,FRC,CLX,AMP,CPRT,ESS,AKAM,CPRT,CMS,AKAM,MKTX,RSG,MKTX,VRSN,HSY,ENPH,URI,ODFL,O,BBY,SYF,HSY,IT,LEN,EXR,IT,EXR,LUV,CPRT,ZBH,CPRT,LYB,CDW,BKR,BKR,EXR,PCG,EFX,PCG,ABC,TROW,EBAY,FTV,ALB,AVB,HPQ,GLW,SBAC,XYL,MTD
EMN,HRB,BTU,MCO,RRC,HOT,FISV,CMG,FTI,RN7,CHK,XRX,BBBY,ES,COG,MSI,TSO,NLSN,VTR,SWN,ES,HOT,XRX,ROK,ROK,HSY,HST,FE,EQIX,CF,PAYX,CLX,BCR,LVLT,GGP,IVZ,SWKS,BEN,ETR,ESS,EFX,PH,ESS,ADSK,GPC,EFX,SYMC,XLNX,DLTR,XLNX,KLAC,CLX,INCY,LNC,VMC,UAL,DVN,AZO,NBL,RCL,TDG,CTAS,AME,ESS,CAH,ALGN,HIG,FITB,NUE,CTAS,ROK,FAST,WY,EXPE,RSG,VMC,CDNS,ALGN,LYB,KEYS,TIF,CAG,LEN,CTXS,KEYS,CAG,LYB,ODFL,RSG,PPL,PPL,FTV,O,EXPE,NTRS,KSU,LYB,RSG,URI,KR,GNRC,TSCO,CERN,LH,ENPH,EFX,MRO,WST,CTRA,ETR,DHI,HIG,TSCO,FANG,HPQ,PCG,FANG,IFF,GLW,GPN,FANG,LYB,EBAY,EXR,TTWO,WEC
DTE,ED,PPL,PAYX,STJ,HOG,MYL,PAYX,CHK,ORLY,SWN,NTAP,HOG,BWA,FE,BWA,REGN,RRC,BXP,ES,LNC,DTE,ETR,WHR,PAYX,DPS,NUE,HSP,NUE,STX,NBL,MAR,ROK,DTE,TYC,SYMC,WMB,M,CMG,XRAY,ESS,ABC,GPC,TDG,RHT,PFG,LLTC,ESS,DPS,MHK,CNC,Q,AME,K,AME,CTL,UAL,OMC,MSI,K,MRO,MRO,APA,DVN,FAST,FAST,RSG,HIG,CDNS,ETR,UAL,RSG,MTD,ROK,KEYS,RCL,KEY,BBY,RSG,FITB,FRC,CDW,LUV,CAG,RSG,MKTX,MXIM,CMS,VRSN,MKTX,EQR,OXY,HIG,WST,HSY,DTE,BBY,ED,FTV,GLW,DVN,DVN,LUV,DAL,ZBH,CPRT,AEE,EFX,LH,FITB,GPC,CDW,EIX,HPQ,RSG,GPC,EFX,PWR,CBRE,TROW,IR,ZBH,DG,WBD,CBRE,WST
APH,NWL,FDO,CF,KSU,GPS,PAYX,HOT,ES,CAG,RN7,XEL,LTR,APH,STZ,FE,SCG,RF,HUM,WFM,MSI,CAG,NTRS,PAYX,SWK,CF,DPS,ENDP,HST,HST,MAR,RCL,MAR,ROK,LVLT,NBL,BEN,MAR,HSIC,GPC,ULTA,ETR,XRAY,ROK,ABC,FE,CERN,LNC,TAP,VMC,LNC,MHK,VMC,VMC,LH,INFO,IDXX,USD,TXT,CLX,CBS,CBS,FE,NEM,RF,HSY,CBS,ULTA,AMP,CHD,SNPS,HSY,AEE,RCL,CMS,ANSS,CTVA,KHC,WDC,CPRT,COO,LH,TFX,TFX,CAG,TSN,AKAM,PAYC,EFX,VIAC,CHD,VMC,NUE,NUE,ODFL,OKE,FTV,DAL,O,FTV,FTV,VMC,RSG,BKR,EIX,FE,EFX,ZBH,ANSS,EFX,ABC,RJF,URI,ULTA,TROW,TROW,WTW,WTW,EBAY,CBRE,GLW,GLW,HPE,ZBH,KEYS,HPQ
HIG,TEL,TMK,HUM,ORLY,GPC,NTRS,MCO,HOT,KSU,LNC,NTRS,ROP,NTRS,RIG,CAM,SRE,FE,OMC,KORS,CAG,MNST,HSY,SWK,DLTR,LVLT,HSP,GWW,MNK,LNC,ALTR,HES,STX,AAP,TAP,BCR,WY,VMC,FAST,FITB,FITB,A,USD,LRCX,MJN,GGP,CLX,LLTC,LNC,LH,MTD,MGM,OMC,AME,OMC,HBAN,OMC,NBL,XLNX,ABMD,AME,HIG,HES,LH,BLL,NTAP,ULTA,AEE,CHD,SNPS,FAST,CCL,CHD,CMS,CDW,CDW,CBRE,BXP,CMS,BBY,MTB,DHI,CAG,LYB,AKAM,TFX,VMC,HOLX,ZBRA,LEN,O,EXPE,CDW,VIAC,VIAC,ARE,RSG,BBY,RSG,ED,OXY,MLM,ALB,EXR,TSCO,STT,FE,WTW,AEE,WTW,WY,WY,EBAY,VMC,LEN,EBAY,EBAY,CBRE,ENPH,SBAC,CBRE,TROW,CBRE,XYL,AVB,DAL
FLR,STZ,SNI,NTRS,MYL,EQT,CMG,PNR,PNR,PNR,ORLY,ORLY,CHK,ADS,BWA,SYMC,J,ROP,AVB,FE,ETR,XRX,GWW,LNC,KORS,NUE,SWK,HOT,FE,PGR,LVLT,WY,IR,NVDA,SJM,BEN,GPC,FAST,HOT,VMC,CTL,XRAY,ROK,ESS,ESS,CTL,EXPE,ULTA,VMC,LVLT,DPS,CNC,K,OMC,HBAN,CMA,HBAN,VRSK,CBS,OMC,LH,KLAC,TDG,HIG,RSG,DXC,CTAS,CFG,DXC,NTAP,KHC,AMCR,KEY,EFX,USD,RSG,KHC,KEY,HAL,EFX,TFX,AKAM,NTRS,LEN,MXIM,MXIM,VLO,ARE,VTRS,WST,ARE,HSY,HSY,HSY,IP,ENPH,VIAC,LYB,CDW,WY,LUV,CERN,ZBH,LYB,TSN,ANSS,DHI,FE,DRE,CDW,CDW,EIX,AVB,ACGL,WY,HIG,PWR,IT,IR,WTW,ES,XYL,CHD,KEYS,LYB,WBD
RHT,VMC,IPG,STX,GPS,NFLX,HOG,XRX,RN7,NTAP,APH,FE,PAYX,NTAP,DOV,DTE,CINF,HSY,PEG,ADS,SWK,PFG,LNC,NTRS,NTRS,LNC,ESS,LNC,NI,MOS,RCL,BCR,PH,RHT,PH,WDC,XLNX,HSY,NEM,EFX,GPC,HSIC,HSIC,NBL,NTRS,SWKS,LNC,SYMC,LH,MGM,INFO,VMC,UAL,INCY,MTD,WRK,LH,XLNX,BBY,HRS,GPN,GWW,HIG,MRO,AEE,EVRG,KLAC,FRC,SNPS,FCX,OMC,AEE,RMD,CCL,CNC,CLX,RSG,ESS,BBY,CMS,TTWO,TFX,CMS,CMS,HOLX,KEYS,EQR,CDW,VIAC,CBRE,ZBRA,TER,ODFL,FTV,EXPE,ED,KHC,URI,LYB,SYF,IT,FTV,LEN,RSG,URI,AEE,HIG,BALL,BKR,FTV,EFX,CBRE,VMC,AEE,DAL,FITB,FTV,CHD,ES,STT,CDW,SBAC,EFX,FICO,WBD,AWK
FISV,AKAM,EA,STJ,PAYX,LB,GPC,ROP,LIFE,SWN,WYNN,SWN,BEAM,LB,AA,ROP,CME,LB,ISRG,SWK,EQT,HSY,SWK,XRX,ESS,KSS,HSY,KSS,KMX,NI,ESS,ATVI,WRK,PH,DTE,A,RHT,SYMC,VMC,VIAB,ABC,VIAB,FE,SYMC,TDG,LLTC,GGP,SJM,MGM,O,UAL,GPN,DPS,ANDV,INFO,LNC,STX,HBAN,VMC,NBL,CTAS,HBAN,K,MYL,ULTA,CBS,ETR,RSG,RSG,AEE,WY,VMC,EXPE,FAST,CBRE,HCP,VMC,VRSN,SYF,FRC,CDW,ALGN,AMCR,WY,TSN,K,DFS,TTWO,EQR,ZBRA,HOLX,URI,CPRT,NTRS,FTV,O,ALB,FTV,KHC,PAYC,CDW,ZBH,LH,EIX,FE,IT,ETR,ON,SIVB,IT,ULTA,FTV,WY,ETR,TSCO,EFX,LYB,GPC,ALB,WY,LYB,TSCO,DLTR,TTWO,MTD,FTV
ALTR,CI,ED,CTXS,GPC,PAYX,FIS,MUR,CAG,DLTR,KSU,RRC,NTRS,COH,LB,BEAM,TMK,FTI,AVGO,NLSN,CF,LNC,PGR,EA,GWW,CAG,FE,EQIX,WFM,EQIX,HST,NBL,HSY,ESS,IVZ,CTL,M,NTRS,NTRS,PRGO,HSIC,MU,TDG,DLR,HES,HSY,DLR,O,MHK,MTD,HRS,APA,AWK,KLAC,CTL,CLX,CMA,STX,AME,VMC,K,NOV,LH,ALGN,VRSN,ABMD,NTAP,MTD,CTAS,CBS,KLAC,CHD,VMC,ANSS,DHI,ALGN,DHI,CDNS,AJG,MTD,BXP,FTNT,CARR,FCX,INCY,FTNT,TSN,LYB,ODFL,EQR,FITB,CCL,OKE,FLT,VMC,CDW,CERN,KSU,KSU,EXR,TSCO,EXPE,CDW,LEN,DTE,USD,ARE,LUV,FE,DHI,EPAM,URI,LUV,LEN,FITB,LEN,IR,BAX,CDW,CDW,EFX,WY,CAH,MTD,FTV,WY
ABC,PHM,HRS,MYL,EQT,MYL,FTI,RRC,SWN,LIFE,NTRS,ROP,JNPR,GPC,SYMC,ISRG,BDX,NTRS,FITB,BWA,RF,HOG,MOS,RF,FITB,HSP,MNK,ESS,ENDP,ES,CLX,ESS,IVZ,NOV,WDC,ADSK,IVZ,ETR,DVN,BEN,RHT,NTRS,AWK,XRAY,BLL,AMP,SJM,A,O,CNC,VMC,WAT,ESS,INFO,HLT,PFG,PFG,UAL,ETFC,TXT,GWW,K,TXT,AWK,FANG,CTAS,CHD,OMC,NTAP,OMC,CBS,OMC,CBS,AMP,CINF,CDNS,BBY,CLX,SWKS,SWKS,ABC,VMC,ODFL,WST,TFX,INCY,CMS,IP,LH,RSG,VTRS,CERN,OXY,VMC,URI,NTRS,KSU,WAT,HSY,CDW,HSY,OKE,DAL,VMC,ALB,ETR,ODFL,ARE,FITB,FANG,VMC,FRC,ULTA,DTE,HIG,LYB,GPC,LYB,WTW,ES,WY,RMD,WY,CBRE,ZBH,APTV
CHRW,TSN,XYL,EQT,PNR,MCO,APH,STX,WYNN,PFG,XRX,CHK,COH,BFB,PAYX,FAST,HAR,COG,RAI,RF,ADS,EQT,PFG,NLSN,GPC,FE,LNC,DPS,DPS,WEC,BCR,DTE,SYMC,IVZ,ADSK,ROK,HSY,ADS,HES,HSIC,PRGO,TDG,LVLT,LVLT,SWKS,ULTA,NLSN,MRO,XLNX,LNC,BHGE,LH,INFO,AWK,KLAC,K,NTAP,CMA,UAL,VRSK,APA,SBAC,TSN,TDG,ALGN,AMP,MTD,CBS,CMG,KEY,APTV,CMG,USD,CINF,KEY,CMS,ARE,KEYS,FRC,LH,AMCR,OXY,LYB,OXY,K,AMCR,ODFL,CAG,IP,TER,MKTX,O,VMC,SYF,CERN,HES,XTSLA,EXR,HIG,HSY,SYF,TER,HES,STE,MKC,CHD,EXR,TSCO,ETR,ARE,CTRA,EBAY,FTV,WY,AVB,DAL,IFF,AEE,XYL,ALGN,MPWR,EBAY,RCL,WY,DAL,TTWO
PNR,PXD,CI,CLX,CTXS,PNR,PNR,APH,DLTR,PRGO,LUV,KSU,CAG,PAYX,COH,CF,FRX,WFM,ABC,COG,WFM,MSI,WHR,HOT,XRX,GPC,PGR,KMX,ALTR,WFM,MNK,SYMC,FE,SYMC,NOV,TYC,ROK,VIAB,RCL,HOT,DLR,FCX,WHR,HES,DLR,A,SWKS,ADSK,BHGE,RSG,O,K,MTD,LH,UAL,IDXX,WRK,TXT,FOX,TDG,TXT,AME,VRSN,RSG,HRS,K,FANG,RF,MSCI,RSG,VMC,KEY,BBY,ARE,WDC,ARE,CLX,UAL,CDW,CHD,INCY,DGX,LVS,K,ODFL,CMS,CAG,TSN,ETSY,FTNT,CBRE,WDC,FLT,HIG,CCL,ODFL,VMC,VIAC,CZR,NTRS,VMC,EIX,KHC,NTRS,DAL,CTRA,ABC,HIG,FTV,FE,ARE,ULTA,EFX,FE,LYB,AVB,AVB,IR,DAL,CHD,TSCO,KEYS,HPQ,TSCO,HIG,RMD
MCO,SCG,HAS,GPS,LB,KSU,ROP,NTRS,ESV,EQT,LIFE,RN7,LIFE,-,BEAM,PAYX,MWV,OKE,WYNN,NTAP,NTAP,PGR,MSI,DLTR,NLSN,XRX,KMX,PGR,BF.B,GWW,RHT,NUE,RHT,WRK,ROK,FE,ETR,RCL,WHR,FE,BEN,UAL,FITB,SWKS,LLTC,ADSK,O,GGP,ABC,ANDV,LVLT,DPS,LH,CTL,WAT,SYMC,LEN,AME,SIVB,AME,NBL,TXT,WDC,HBAN,AAL,CTL,CFG,ETR,BBY,DXC,ARE,KR,FAST,TFX,ARE,CBRE,FRC,MTD,VMC,LEN,AMP,LYB,K,NTRS,DGX,DAL,CDW,CBRE,ARE,ETR,FLT,TTWO,PPL,USD,OKE,IP,GRMN,NTRS,BBY,HIG,MLM,MAA,LYB,MKC,MOS,HIG,MKC,LH,BALL,DRE,FTV,DTE,ETR,FTV,VMC,VMC,ALGN,ALGN,MPWR,MPWR,ALB,CHD,TTWO,CTRA,RMD,ZBH
ORLY,J,THC1,CMG,MU,DTE,EMN,GPC,GPC,APH,SWK,LNC,CF,BEAM,MAT,XRX,NBR,MAR,AZO,ETR,COG,WFM,WYNN,PGR,USD,NLSN,CLX,SNDK,PGR,NUE,DTE,PFG,TAP,SJM,HES,EFX,HSIC,SWKS,M,EXPE,FE,FITB,ETR,HSY,ADSK,RHT,GPC,CERN,BBY,HRS,K,OMC,KLAC,WRK,WRK,NTAP,LLL,ETFC,OMC,XLNX,CLX,HES,CTAS,CAH,CHD,FANG,FRC,LLL,FRC,BBY,IP,CBS,OMC,WDC,HCP,FRC,HAL,VMC,LEN,WDC,BBY,DAL,ESS,CDW,CTXS,KMX,HOLX,MLM,NTRS,SIVB,VMC,MLM,MKC,OKE,TSN,FTV,URI,DOV,VIAC,DVN,TER,DOV,TSCO,CHD,LH,WST,CDW,ANET,ZBH,VMC,AEE,HBAN,ARE,AVB,ACGL,IFF,VMC,VMC,CHD,CAH,EBAY,ALB,TSCO,STE,CHD,CAH
PAYX,PEG,MSI,MUR,FISV,FISV,XLNX,FAST,XLNX,NTRS,ES,EQT,FE,PGR,GMCR,L,NAVI,ROST,PH,DTE,OKE,MOS,DPS,MOS,NUE,ADSK,HOT,NLSN,LNC,PFG,HES,CF,TSN,TAP,TSO,PH,FITB,NBL,RHT,NOV,FCX,LRCX,NTRS,LH,LH,ESS,RHT,HBAN,BEN,DGX,MHK,ALB,HLT,O,APA,WAT,VRSK,PFG,WYNN,NOV,VRSK,LH,AAL,AEE,EVRG,FRC,ABMD,MKC,CBS,NUE,RMD,RMD,IP,KEY,CCL,KEY,AEE,FCX,ALGN,HPE,MXIM,PXD,CAH,LH,LUV,KSU,AMCR,EFX,TSN,LH,IP,MKTX,EIX,URI,HIG,CERN,WAT,VMC,PAYC,VMC,SWKS,TSN,MKC,HIG,CDW,URI,MOS,CDW,WTW,ZBH,TSCO,VMC,AEE,EBAY,ARE,IR,CBRE,CDW,GPC,EBAY,TTWO,MPWR,HIG,EBAY,APTV,LYB
GPC,DHI,POM,PNR,DTE,ROK,DTE,DLTR,RRC,SWK,ROP,PFG,PGR,JNPR,RRC,NTRS,INTU,PNR,BSX,HOG,PGR,RF,DTE,KMX,BF/B,DTE,MOS,DTE,SNDK,UA,FE,FE,GWW,BCR,MAR,HSIC,CAM,NUE,EFX,FAST,ETR,EQT,FTV,VIAB,FE,MJN,A,HSY,AZO,AZO,HSY,INFO,APA,HLT,SYMC,HLT,K,MGM,CAH,UAL,TSN,ABMD,CAH,CTAS,HBAN,WAT,RF,NTAP,LLL,LLL,KEY,IP,AMCR,DHI,KHC,DHI,IP,WDC,EFX,SYF,HRL,MTB,DGX,MXIM,CDW,PXD,CTXS,KSU,AEE,VMC,QRVO,MKC,NTRS,ARE,CDW,EXPE,DOV,VFC,EXPE,DLTR,ZBH,SWKS,FTV,FANG,STE,MOS,ULTA,DRE,LYB,ABC,ETR,DAL,RJF,FITB,GPC,FTV,AEE,FTV,LYB,TSCO,RCL,STE,FICO,GLW,WY,TROW
CHK,PNW,LEG,SJM,MUR,DLTR,MUR,EMN,APH,ROP,GPC,ES,MAT,STZ,L,GPC,DHI,CAM,ZBH,CHK,NLSN,NTAP,A,MSI,PGR,KMX,DTE,GMCR,ESS,DPS,LNC,HST,PFG,GPC,PFG,GPC,EFX,CAM,MAR,ADSK,WHR,LH,LLTC,ETR,EXPE,DLR,MCHP,EFX,TSO,BEN,LH,AME,WRK,ALGN,K,LLL,CTL,SIVB,VRSK,HBAN,HES,SIVB,LLL,MCHP,K,CNP,LLL,CHD,ANET,FRC,FRC,ANSS,KR,AJG,MTD,CINF,CCL,AEE,KEY,CDW,WY,AJG,CDW,AMCR,TSCO,LH,KSU,DGX,CDW,FITB,VRSN,SYF,EFX,CLX,DLTR,RSG,NTRS,HIG,GRMN,DAL,EIX,IR,VMC,DTE,IT,ABC,STE,ABC,GWW,WST,EBAY,ETR,CTRA,FRC,FTV,PWR,MPWR,FE,TTWO,FANG,STT,STT,RMD,STT,STT,BR
EW,PWR,EQR,RL,CHK,CTXS,CHK,GPS,NTRS,RRC,EQT,ESV,STZ,ROP,FAST,FTI,PCAR,PGR,DG,HSY,CAM,KSU,HOT,PFG,LVLT,GWW,BBBY,BF.B,DVA,RHT,MRO,GWW,NBL,PFG,BCR,AA,A,GWW,NBL,WHR,HSY,WDC,LRCX,LLTC,ULTA,CFG,ADSK,GPC,DGX,INFO,HBAN,WRK,BBY,GPN,DHI,DVN,SYMC,KLAC,HBAN,IQV,SWKS,TDG,TSS,AMD,CTAS,MTD,CNP,MSCI,KEYS,HSY,CMS,LH,CFG,OMC,MLM,CHD,CPRT,RSG,VIAC,COO,LYB,MXIM,WST,TTWO,KSU,TSCO,TSCO,FITB,GWW,LVS,FTNT,WST,SYF,TSN,RSG,VMC,EXR,PAYC,TSN,NDAQ,URI,KHC,CHD,SYF,VTR,VMC,NTRS,DHI,LUV,LUV,FE,LUV,FRC,PPL,ANSS,WST,PODD,ENPH,HIG,GPC,BAX,DFS,XYL,DFS,BR,STT
WDC,SYMC,SNA,WYNN,CF,CMG,SJM,DTE,CF,CF,FAST,CF,LB,EMN,CAM,SWK,DRI,PFG,HST,PGR,DTE,DPS,ADSK,HOG,BBBY,ETR,GPC,DVA,GWW,ESS,NUE,RHT,AME,EXPE,A,MAR,NUE,EFX,GWW,ETR,FAST,CHD,LH,FE,NOV,FCX,ESS,NOV,HCP,HSY,AME,AWK,WAT,APA,CMA,FOX,HLT,SWKS,TDG,FE,HBAN,FE,FAST,ULTA,MTD,GPC,MYL,CDNS,GPC,VMC,LH,KEYS,ANSS,HCP,EFX,MTD,MTD,ARE,MTD,KEY,HIG,AMP,MXIM,ODFL,NTRS,NTRS,DPZ,AMCR,VMC,IP,KMX,ODFL,TSN,IP,WDC,DLTR,OKE,XYL,TSCO,LYB,BBY,SYF,NTRS,MTB,VMC,TSCO,LH,MKC,URI,ULTA,PCG,ARE,NDAQ,ARE,BAX,WY,DAL,MLM,WBA,ULTA,CHD,HPE,STE,RCL,TROW,HIG
BSX,HBAN,TEL,DLTR,CMG,XRX,ETR,KSU,KSU,GPC,RRC,LUV,GPC,LTR,LNC,STZ,KMI,DTE,WY,CAG,GPC,WHR,DLTR,BBBY,CLX,HOT,GWW,PFG,WHR,RF,WHR,WHR,AA,HOT,LNC,O,ADS,A,HSY,A,CMG,RHT,MU,BLL,XRAY,TDG,NOV,NLSN,HSY,APA,RSG,LVLT,HBAN,HSY,NTAP,VRSK,FOX,FOX,CMA,ETFC,LLL,AAL,O,SWKS,RMD,MYL,EVRG,BBY,OMC,TSS,CMG,COO,EFX,LH,OMC,CCL,AJG,CPRT,KHC,VMC,SJM,AMCR,COO,PXD,AMCR,LYB,INCY,NTRS,TER,AEE,RSG,LVS,CERN,CERN,HES,URI,ETSY,TRMB,HBAN,TSCO,NTRS,LUV,SWKS,TSCO,MAA,MAA,ANET,CTRA,STE,GPC,MLM,EQR,MLM,IR,AEE,ARE,ETR,HIG,MKC,TTWO,SBAC,TTWO,ALGN,RMD,DFS,ULTA
NE,M,NBR,BFB,EMN,SJM,DLTR,MOS,EMN,LUV,FLR,FLR,LNC,LNC,GPC,MAT,TGNA,SWK,ED,NEM,DOV,DVA,LVLT,DPS,NI,BF/B,BF/B,COG,MOS,HOT,CF,LVLT,NVDA,HES,GPC,NUE,NOV,EXPE,ADSK,RHT,MU,KIM,HES,XLNX,PFG,GPC,MLM,MLM,MSI,KLAC,BBY,ANDV,HSY,MTD,DOV,FAST,LNC,WYNN,HES,STX,CMA,LLL,HBAN,AME,HIG,CMS,MKC,CAH,ARE,CFG,AJG,FANG,KEYS,HAL,AJG,IP,CMS,IP,CHD,PEAK,KSU,CAH,TTWO,DAL,LYB,CTXS,K,VIAC,LVS,NTRS,KSU,EIX,USD,EIX,FLT,VRSN,DLTR,MLM,CTLT,MLM,MAA,OXY,DOV,CDW,AEE,STE,BALL,ANSS,VMC,TSN,HIG,CF,DTE,ANSS,FE,MLM,MLM,DTE,MTB,LYB,DTE,ES,WTW,TROW,TSCO,WTW
CLX,DRI,PEG,CNP,DLTR,MUR,PFG,XLNX,XRX,EMN,CF,LIFE,XRX,CHK,ROP,NLSN,HAS,XRX,MCO,PAYX,KSU,L,RF,LVLT,EW,PGR,NLSN,ETR,HOT,KMX,RF,HSY,LVLT,NUE,VMC,HSY,HBI,XLNX,LRCX,HSY,AWK,AEE,AA,FCX,XLNX,RF,HCP,MCHP,INFO,AEE,TAP,ETR,AEE,ESS,LLL,MTD,ESS,APA,MGM,CTAS,AAL,FAST,RMD,ABMD,BBY,FCX,HCP,GPC,KEY,CMG,HCP,FCX,AJG,CBRE,HAL,AJG,CHD,DHI,PEAK,ALGN,ODFL,CARR,OKE,DFS,CAH,LVS,COO,INCY,FITB,KSU,ETR,PPL,KMX,MKC,ARE,HIG,HIG,OKE,NDAQ,DOV,KHC,PKI,HIG,MLM,MLM,DHI,WST,STE,LEN,MLM,SIVB,ACGL,DAL,MLM,IR,FRC,HIG,PODD,ULTA,BAX,CAH,FICO,MPWR,EFX,GLW,FITB
RL,MOS,SEE,PRGO,CLX,CLX,XRX,SJM,ALTR,FLR,DLTR,FAST,BFB,AME,PGR,EMN,RHI,LNC,CERN,GPC,BBBY,NI,EQT,RCL,KMX,EW,PFG,CLX,RHT,MNK,AKAM,DVA,GPC,TSN,AME,AME,MU,FITB,FITB,MAR,EXPE,PRGO,CTXS,MAR,ETR,BLL,BEN,HST,MTD,WAT,ALB,EXPE,ETR,FAST,IDXX,TXT,FAST,ESS,ABMD,KLAC,FAST,APA,SIVB,TSS,ETR,MXIM,TSS,FANG,HSY,FANG,FANG,NUE,CBRE,MTD,LH,HES,NUE,CMS,HPE,TFX,EVRG,CBRE,PXD,VMC,PXD,DFS,NTRS,EQR,HOLX,TFX,TER,QRVO,CHD,PPL,MLM,CLX,IT,ENPH,VMC,KHC,NDAQ,DRE,IT,RF,DHI,CDW,VTR,VTR,MLM,ANSS,INVH,AEE,LEN,MKC,LH,ALGN,FE,MKC,CAH,DTE,MTB,CAH,DFS,DAL,EBAY,GLW
XRX,EXPE,KR,OKE,KSS,EMN,KSU,PFG,PFG,DTE,NEM,AME,XLNX,SWK,DTE,PGR,AVP,FAST,IVZ,MSI,MNST,DOV,COG,BF/B,ENDP,ESS,DVA,A,PFG,FE,A,AME,KMX,LNC,RF,ENDP,EXPE,WHR,A,GWW,ADS,FAST,EXPE,KEY,LVLT,XRAY,FAST,CTXS,BLL,GPN,ANDV,UAL,CAG,HBAN,MSI,DOV,WAT,TDG,STX,ESS,SIVB,O,NOV,VRSN,MXIM,CFG,HSY,TSS,CMS,ANSS,ANSS,MXIM,NUE,HES,IP,LEN,CFG,AJG,KEYS,KHC,HPE,COO,WY,CAH,KMX,CDW,GWW,K,QRVO,QRVO,CTLT,TSN,CCL,RSG,RF,EXR,EXPE,IP,DOV,EXPE,IR,DAL,EIX,KEY,NTRS,LH,ANSS,NTRS,ABC,CF,ANSS,NDAQ,HBAN,LYB,DTE,HBAN,WY,ETR,WY,RCL,STE,HIG,STT,ETR,DTE,TSCO
ICE,BTU,AIV,XRX,WYNN,PRGO,CF,LNC,-,XLNX,BWA,GPC,FLR,FAST,EMN,BBBY,PETM,GPC,FIS,CF,KLAC,FTI,EW,ADSK,HOG,ENDP,ETR,RHT,CLX,DVA,HSY,RF,AKAM,FCX,SYMC,TSO,TSCO,RHT,CXO,ULTA,LRCX,GWW,MAR,WHR,HSY,CTXS,XLNX,HCP,RSG,AME,LLL,BLL,LLL,DOV,ABC,VMC,TXT,MRO,K,AAL,EXPE,CMA,ESS,BLL,WAT,ULTA,K,KEYS,FANG,KEYS,CINF,CFG,COO,KHC,CPRT,HAL,OMC,OMC,CCL,CAH,CBRE,BXP,DFS,CBRE,FE,DPZ,VAR,BR,TFX,TSN,TSN,KSU,IP,CCL,PPL,TER,DTE,DTE,DVN,VFC,DOV,NTRS,MLM,MAA,CHD,MTCH,PPL,FANG,WAT,LYB,CF,MLM,ACGL,DAL,ETR,RF,EXR,ALB,AEE,EQR,AEE,EQR,SBAC,BR,HPE,CHD
WYNN,CCL,RDC,KMX,SJM,RL,ALTR,CF,PRGO,LNC,BFB,OKE,AA,FE,CAG,LB,ADT,PAYX,MTB,L,NI,KLAC,EA,A,MSI,A,NI,CF,EW,CLX,GWW,LNC,DVA,FOX,FE,VMC,MAR,CHD,ADS,WMB,ADSK,CMS,RHT,MHK,MRO,ETR,FOX,SWKS,DISH,AWK,BEN,HBAN,IQV,LLL,FOX,ABC,VMC,AWK,NOV,HST,RSG,SWKS,GWW,ETR,GPC,RF,MSCI,CBRE,VMC,HES,CFG,AJG,LH,AMCR,FRC,CPRT,PEAK,CFG,COO,OMC,MKTX,LEN,DPZ,LVS,VMC,VMC,IP,VAR,VTR,HOLX,PAYC,RF,ENPH,MLM,CZR,WDC,MLM,TSN,XYL,EIX,MPWR,CHD,BKR,FTV,HIG,ALB,MTCH,MAA,MKC,PPL,RJF,MOH,LH,NDAQ,PPL,AEE,CHD,WY,ALGN,HIG,MKC,WTW,BR,DTE,ETR,MTB
