2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CCI,VIAB,PCG,LYB,WM,ETN,AFL,CMG,MSCI,MCO,TFC
BHI,APD,JCI,SYF,PLD,SRE,MCO,ALGN,DLR,CDNS,USD
NBL,AFL,AFL,DFS,BSX,FISV,VLO,CDNS,NEM,TRV,GM
KMI,AON,EXC,AFL,SHW,KMI,PRU,SYY,CMG,JCI,MCHP
CI,CI,INTU,STT,GIS,REGN,ROP,FCX,FTNT,DXCM,PSA
SE,PSA,SYF,PLD,AON,YUM,OXY,BIIB,A,MSI,F
APD,CAH,CSX,SPGI,TEL,EL,F,STZ,GD,EXC,CARR
DVN,BDX,AON,SYY,ADI,ALL,ALL,MSCI,ALGN,CTVA,AJG
HES,CBS,NSC,INTU,PGR,EQIX,FDX,SRE,MCHP,FDX,NEM
DAL,CCI,APD,REGN,MCK,DG,NEM,A,KMB,NXPI,DXCM
EXC,INTU,AVB,BHI,BAX,ADSK,TRV,MCHP,CNC,AFL,AIG
BEN,EQR,CCL,ALXN,EA,ROP,CTSH,GIS,TT,ADSK,SPG
MU,VFC,ORLY,STZ,MPC,ORLY,DAL,MET,ORLY,FIS,SRE
CAH,VLO,TEL,ALL,ILMN,JCI,XEL,TRV,AIG,ROST,ROST
AEP,SRE,BSX,STI,FIS,KHC,WELL,DXCM,CARR,WMB,HLT
TEL,TEL,APC,MPC,PSA,WMB,ORLY,PSA,CTSH,O,EW
AMP,AVGO,STZ,MAR,ROST,STZ,VFC,APTV,MSI,AJG,IDXX
SYK,PCG,LB,ZTS,STI,PEG,GIS,XEL,MAR,DVN,DHI
VFC,MPC,ETN,ADM,PPG,LYB,APH,PH,AEP,MAR,AZO
TROW,HCN,HCN,ORLY,LRCX,WELL,PSA,MAR,MET,BIIB,MSCI
NFLX,ICE,ALL,ROST,APC,TEL,TEL,CNC,APTV,CTAS,VLO
PSA,CMI,DLPH,EQIX,PXD,EBAY,STZ,TT,BK,LHX,TEL
IP,AMP,DE,HPQ,SYY,XEL,PPG,XLNX,TROW,TT,AFL
INTU,CB,PPL,SRE,REGN,PPG,IR,BK,PAYX,HES,TRV
REGN,SE,DFS,PPG,EL,APH,JCI,GD,AZO,SYY,NUE
WFM,FCX,AZO,CBS,SYF,EQR,HLT,F,HLT,CMG,AEP
BDX,BHI,PLD,ATVI,DFS,GLW,OKE,TROW,HPQ,USD,CPRT
AMAT,WDC,MNST,FIS,GLW,AVB,EA,IQV,BAX,XEL,IQV
